sample,time_s,confidence,range_db,basis
108391,2.258146,存疑,17.1,sheet-window
3188472,66.426500,存疑,15.0,sheet-window
7702473,160.468187,存疑,32.1,sheet-window
11502254,239.630292,存疑,17.2,sheet-window
14796276,308.255750,确定,31.3,sheet-window
18710044,389.792583,存疑,14.9,sheet-window
21101927,439.623479,确定,23.9,sheet-window
