sample,time_s,confidence,range_db,basis
257334,5.361125,确定,43.7,sheet-window
1106901,23.060437,确定,53.9,sheet-window
2353689,49.035187,确定,53.9,sheet-window
3667464,76.405500,确定,27.6,sheet-window
4554167,94.878479,确定,30.4,sheet-window
6340494,132.093625,确定,42.1,sheet-window
8481966,176.707625,确定,36.7,sheet-window
