sample,time_s,confidence,range_db,basis
25131,0.523563,确定,40.0,sheet-window
1037586,21.616375,确定,49.1,sheet-window
2411319,50.235813,确定,47.3,sheet-window
3352642,69.846708,确定,44.6,sheet-window
4504570,93.845208,确定,41.3,sheet-window
6456809,134.516854,确定,38.0,sheet-window
7933017,165.271187,确定,25.0,sheet-window
