sample,time_s,confidence,range_db,basis
216467,4.509729,确定,48.1,seed
3446271,71.797313,确定,59.2,seed
7069594,147.283208,确定,55.2,template-scan
10559992,219.999833,确定,53.7,seed
12276781,255.766271,确定,54.0,template-scan
16108001,335.583354,确定,56.5,seed
16921589,352.533104,确定,50.3,seed
