sample,time_s,confidence,range_db,basis
90263,1.880479,确定,37.5,sheet-window
3515961,73.249188,存疑,14.0,sheet-window
7216765,150.349271,确定,24.3,sheet-window
11649964,242.707583,确定,31.4,sheet-window
16888336,351.840333,确定,34.5,sheet-window
22770384,474.383000,确定,37.9,sheet-window
25468932,530.602750,确定,35.8,sheet-window
