sample,time_s,confidence,range_db,basis
170553,3.553187,确定,39.1,sheet-window
5790120,120.627500,确定,52.6,sheet-window
5954407,124.050146,确定,55.1,sheet-window
8961482,186.697542,确定,56.8,sheet-window
12399771,258.328562,确定,59.9,sheet-window
15467817,322.246188,确定,31.9,sheet-window
