sample,time_s,confidence,range_db,basis
92058,1.917875,确定,45.4,seed
2059140,42.898750,确定,40.2,seed
4865565,101.365938,确定,46.9,template-scan
6907734,143.911125,确定,55.7,seed
9644907,200.935563,确定,49.9,seed
16794898,349.893708,确定,40.7,template-scan
18700518,389.594125,确定,41.7,seed
