sample,time_s,confidence,range_db,basis
158402,3.300042,确定,36.8,sheet-window
2526673,52.639021,存疑,19.9,sheet-window
5156328,107.423500,确定,34.8,sheet-window
7825682,163.035042,确定,31.1,sheet-window
9692490,201.926875,确定,29.4,sheet-window
13633973,284.041104,确定,24.9,sheet-window
15323956,319.249083,存疑,20.7,sheet-window
