sample,time_s,confidence,range_db,basis
48667,1.013896,确定,42.9,sheet-window
3271596,68.158250,确定,27.5,sheet-window
8317537,173.282021,确定,22.1,sheet-window
11875879,247.414146,确定,32.4,sheet-window
14790187,308.128896,确定,48.6,sheet-window
18780849,391.267688,确定,40.6,sheet-window
22546751,469.723979,存疑,14.1,sheet-window
