sample,time_s,confidence,range_db,basis
224294,4.672792,确定,31.6,sheet-window
2078037,43.292437,存疑,24.7,sheet-window
4754768,99.057667,确定,24.2,sheet-window
7164861,149.267937,确定,24.3,sheet-window
9175548,191.157250,确定,29.8,sheet-window
11688106,243.502208,确定,18.6,sheet-window
14731210,306.900208,确定,23.6,sheet-window
