sample,time_s,confidence,range_db,basis
26346,0.548875,存疑,48.1,sheet-window
2593761,54.036687,确定,31.4,sheet-window
5880142,122.502958,确定,42.7,sheet-window
8558217,178.296188,确定,27.0,sheet-window
13315171,277.399396,确定,21.6,sheet-window
