sample,time_s,confidence,range_db,basis
141099,2.939563,确定,45.3,sheet-window
730679,15.222479,确定,55.9,sheet-window
1785858,37.205375,确定,54.1,sheet-window
3915874,81.580708,确定,59.6,sheet-window
5957952,124.124000,确定,60.7,sheet-window
9196152,191.586500,确定,62.5,sheet-window
9458356,197.049083,确定,43.6,sheet-window
