sample,time_s,confidence,range_db,basis
410005,8.541771,确定,55.7,sheet-window
3056209,63.671021,确定,40.2,sheet-window
5196995,108.270729,确定,34.4,sheet-window
6947580,144.741250,确定,45.7,sheet-window
9416044,196.167583,确定,29.4,sheet-window
12329861,256.872104,确定,32.7,sheet-window
13898323,289.548396,确定,40.0,sheet-window
