sample,time_s,confidence,range_db,basis
192173,4.003604,确定,62.9,sheet-window
1374672,28.639000,确定,55.0,sheet-window
2501390,52.112292,确定,43.9,sheet-window
3711099,77.314562,确定,39.2,sheet-window
5059270,105.401458,确定,59.9,sheet-window
6798814,141.641958,确定,52.9,sheet-window
7524635,156.763229,存疑,44.0,sheet-window
