sample,time_s,type,reason,value
102740,2.140417,down,low_prom,8.36
139658,2.909542,down,low_prom,9.0
588296,12.256167,down,low_prom,10.84
653793,13.620688,down,low_prom,10.18
697169,14.524354,down,low_prom,9.61
811794,16.912375,down,low_prom,11.01
1079404,22.487583,down,low_prom,11.79
1332374,27.757792,down,low_prom,10.32
1475881,30.747521,down,low_prom,11.74
1682237,35.046604,down,low_prom,11.76
1915468,39.905583,down,low_prom,10.13
2438757,50.807437,down,low_prom,10.27
2475772,51.578583,down,low_prom,11.29
2491222,51.900458,down,low_prom,10.52
2552925,53.185938,down,low_prom,8.21
2772852,57.767750,down,low_prom,9.16
2820829,58.767271,down,low_prom,10.58
2822524,58.802583,down,low_prom,10.89
2847866,59.330542,down,low_prom,10.36
2939660,61.242917,down,low_prom,9.05
2952409,61.508521,down,low_prom,11.42
2954471,61.551479,down,low_prom,11.22
2967127,61.815146,down,low_prom,10.73
3224280,67.172500,down,low_prom,8.51
3316489,69.093521,down,low_prom,10.42
3436957,71.603271,down,low_prom,10.75
3451352,71.903167,down,low_prom,9.87
3472669,72.347271,down,low_prom,11.18
3676307,76.589729,down,low_prom,9.99
3798089,79.126854,down,low_prom,8.39
3819740,79.577917,down,low_prom,9.82
3925190,81.774792,down,low_prom,8.96
3975961,82.832521,down,low_prom,7.29
3975961,82.832521,down,sub30_pair,29.23
3977364,82.861750,down,low_prom,10.01
3977364,82.861750,down,sub30_pair,29.23
3989001,83.104187,down,low_prom,11.1
4098445,85.384271,down,low_prom,11.42
4173929,86.956854,down,sub30_pair,10.33
4174425,86.967187,down,sub30_pair,10.33
4193632,87.367333,down,low_prom,6.91
4223161,87.982521,down,low_prom,8.53
4317931,89.956896,down,low_prom,8.47
4331371,90.236896,down,low_prom,10.52
4444565,92.595104,down,low_prom,11.04
4509804,93.954250,down,sub30_pair,21.46
4510834,93.975708,down,low_prom,5.95
4510834,93.975708,down,sub30_pair,21.46
4582217,95.462854,down,low_prom,8.14
4801433,100.029854,down,sub30_pair,20.62
4802423,100.050479,down,low_prom,7.85
4802423,100.050479,down,sub30_pair,20.62
4867123,101.398396,down,low_prom,11.7
4893589,101.949771,down,low_prom,8.97
4914329,102.381854,down,low_prom,10.87
4983446,103.821792,down,low_prom,11.83
5050373,105.216104,down,low_prom,10.92
5131277,106.901604,down,low_prom,10.3
5228561,108.928354,down,low_prom,8.88
5230483,108.968396,down,low_prom,8.52
5237835,109.121562,down,low_prom,11.08
5350727,111.473479,down,low_prom,9.83
5350727,111.473479,down,sub30_pair,18.83
5351631,111.492312,down,sub30_pair,18.83
