sample,time_s,type,reason,value
5356495,111.593646,down,low_prom,9.39
5404205,112.587604,down,low_prom,11.0
5496188,114.503917,down,low_prom,9.69
5576091,116.168562,down,low_prom,10.3
5587963,116.415896,down,low_prom,8.89
5712682,119.014208,down,low_prom,10.48
5790068,120.626417,down,low_prom,11.01
5920153,123.336521,down,low_prom,11.95
6202489,129.218521,down,low_prom,11.88
6231385,129.820521,down,low_prom,10.19
6258967,130.395146,down,low_prom,10.5
6289032,131.021500,down,low_prom,8.85
6319275,131.651563,down,sub30_pair,0.0
6319275,131.651563,down,sub30_pair,0.0
6329128,131.856833,down,low_prom,10.52
6543552,136.324000,down,low_prom,11.42
6600422,137.508792,down,low_prom,10.32
6665151,138.857313,down,low_prom,10.23
6689384,139.362167,down,sub30_pair,19.6
6690325,139.381771,down,low_prom,9.21
6690325,139.381771,down,sub30_pair,19.6
6696259,139.505396,down,low_prom,10.97
6727613,140.158604,down,low_prom,7.95
6740819,140.433729,down,low_prom,9.92
6757537,140.782021,down,low_prom,10.04
7071660,147.326250,down,low_prom,9.35
7091809,147.746021,down,low_prom,10.61
7156341,149.090438,down,low_prom,7.61
7238189,150.795604,down,sub30_pair,23.4
7239312,150.819000,down,sub30_pair,23.4
7324889,152.601854,down,sub30_pair,12.21
7325475,152.614062,down,sub30_pair,12.21
7349476,153.114083,down,low_prom,6.88
7376890,153.685208,down,low_prom,8.53
7376890,153.685208,down,sub30_pair,13.4
7377533,153.698604,down,low_prom,11.11
7377533,153.698604,down,sub30_pair,13.4
7437465,154.947188,down,low_prom,11.26
7567229,157.650604,down,low_prom,6.79
7852894,163.601958,down,low_prom,11.18
7935868,165.330583,down,low_prom,11.25
7956134,165.752792,down,low_prom,11.69
7972819,166.100396,down,low_prom,9.19
8027838,167.246625,down,low_prom,9.86
8086722,168.473375,down,low_prom,11.56
8152160,169.836667,down,low_prom,9.08
8152160,169.836667,down,sub30_pair,9.94
8152637,169.846604,down,low_prom,8.9
8152637,169.846604,down,sub30_pair,9.94
8360467,174.176396,down,low_prom,10.74
8398937,174.977854,down,low_prom,10.69
8414149,175.294771,down,sub30_pair,25.21
8415359,175.319979,down,low_prom,10.4
8415359,175.319979,down,sub30_pair,25.21
8671094,180.647792,down,low_prom,11.44
8819004,183.729250,down,low_prom,10.49
8979525,187.073438,down,low_prom,10.52
9145237,190.525771,down,low_prom,10.21
9167883,190.997562,down,low_prom,7.94
9228920,192.269167,down,low_prom,11.59
9242036,192.542417,down,low_prom,9.01
9314578,194.053708,down,low_prom,9.78
9314578,194.053708,down,sub30_pair,22.69
9315667,194.076396,down,low_prom,10.45
9315667,194.076396,down,sub30_pair,22.69
9638243,200.796729,down,low_prom,10.4
9797347,204.111396,down,low_prom,11.51
9804884,204.268417,down,low_prom,10.67
10004985,208.437187,down,low_prom,11.94
10018072,208.709833,down,low_prom,11.2
10408373,216.841104,down,low_prom,11.46
10427750,217.244792,down,low_prom,11.42
10669522,222.281708,down,low_prom,8.56
10689624,222.700500,down,low_prom,9.21
10739614,223.741958,down,low_prom,10.74
10896444,227.009250,down,low_prom,6.37
11349685,236.451771,down,low_prom,9.2
11367754,236.828208,down,low_prom,9.57
11385628,237.200583,down,low_prom,5.86
11948152,248.919833,down,low_prom,11.03
12123845,252.580104,down,low_prom,8.8
12367621,257.658771,down,low_prom,10.59
12486418,260.133708,down,low_prom,10.82
12518395,260.799896,down,low_prom,11.47
12530097,261.043687,down,low_prom,10.12
12557190,261.608125,down,low_prom,10.02
12647008,263.479333,down,low_prom,11.76
12653286,263.610125,down,sub30_pair,28.85
12654671,263.638979,down,low_prom,11.43
12654671,263.638979,down,sub30_pair,28.85
12722404,265.050083,down,low_prom,11.88
12729110,265.189792,down,low_prom,11.67
12788245,266.421771,down,low_prom,11.0
12989664,270.618000,down,sub30_pair,28.1
12991013,270.646104,down,low_prom,10.93
12991013,270.646104,down,sub30_pair,28.1
13010842,271.059208,down,low_prom,7.27
13018729,271.223521,down,low_prom,10.93
13031546,271.490542,down,low_prom,11.47
