sample,time_s,type,decision,reason,ncc,range_db
28316,0.589917,down,存疑,mid_band,0.8421,51.68
55392,1.154000,down,存疑,mid_band,0.7781,47.69
60674,1.264042,down,存疑,mid_band,0.7673,48.84
99904,2.081333,down,存疑,mid_band,0.8167,40.45
102740,2.140417,down,存疑,mid_band,0.6311,8.36
112312,2.339833,down,存疑,mid_band,0.6922,23.34
134845,2.809271,down,存疑,mid_band,0.6258,24.08
139658,2.909542,down,存疑,mid_band,0.6492,9.00
144737,3.015354,down,存疑,mid_band,0.7601,26.47
313201,6.525021,down,存疑,mid_band,0.6300,44.83
349610,7.283542,down,drop,ncc_lo,0.3884,17.33
376084,7.835083,down,存疑,mid_band,0.5579,12.90
473169,9.857688,down,存疑,mid_band,0.7419,34.73
483407,10.070979,down,存疑,mid_band,0.8112,17.08
576368,12.007667,down,存疑,mid_band,0.7025,21.22
582725,12.140104,down,存疑,mid_band,0.6291,21.95
588296,12.256167,down,drop,ncc_lo,0.3488,10.84
591276,12.318250,down,存疑,mid_band,0.7536,16.86
601029,12.521437,down,存疑,mid_band,0.5831,17.88
603121,12.565021,down,存疑,mid_band,0.6280,25.31
620757,12.932438,down,存疑,mid_band,0.5471,14.56
653793,13.620688,down,drop,ncc_lo,0.4817,10.18
697169,14.524354,down,存疑,mid_band,0.5608,9.61
811794,16.912375,down,存疑,mid_band,0.5565,11.01
828342,17.257125,down,存疑,mid_band,0.6626,27.47
845144,17.607167,down,存疑,mid_band,0.7007,23.58
858104,17.877167,down,存疑,mid_band,0.7229,21.71
889457,18.530354,down,存疑,mid_band,0.7378,29.86
918574,19.136958,down,存疑,mid_band,0.8401,56.82
925822,19.287958,down,存疑,mid_band,0.5409,19.91
929107,19.356396,down,存疑,mid_band,0.5913,22.20
944387,19.674729,down,存疑,mid_band,0.8255,26.55
946265,19.713854,down,drop,ncc_lo,0.1637,28.24
972823,20.267146,down,drop,ncc_lo,0.2002,15.68
1006135,20.961146,down,存疑,mid_band,0.6597,17.84
1011242,21.067542,down,存疑,mid_band,0.7982,23.91
1066750,22.223958,down,存疑,mid_band,0.5266,14.13
1079404,22.487583,down,存疑,mid_band,0.6067,11.79
1132966,23.603458,down,存疑,mid_band,0.8292,25.37
1157463,24.113813,down,存疑,mid_band,0.5732,22.52
1166159,24.294979,down,存疑,mid_band,0.6408,23.30
1179767,24.578479,down,存疑,mid_band,0.7722,22.97
1185617,24.700354,down,drop,ncc_lo,0.3567,14.99
1195611,24.908562,down,存疑,mid_band,0.6465,19.80
1214815,25.308646,down,drop,ncc_lo,0.1985,48.65
1234773,25.724438,down,存疑,mid_band,0.5621,59.66
1244934,25.936125,down,存疑,mid_band,0.7245,16.96
1248601,26.012521,down,存疑,mid_band,0.7227,18.90
1250374,26.049458,down,drop,ncc_lo,-0.0512,29.76
1332374,27.757792,down,drop,ncc_lo,0.2933,10.32
1349286,28.110125,down,存疑,mid_band,0.8473,41.32
1414092,29.460250,down,存疑,mid_band,0.6097,21.12
1437363,29.945062,down,存疑,mid_band,0.7057,21.19
1475881,30.747521,down,存疑,mid_band,0.6133,11.74
1489494,31.031125,down,drop,ncc_lo,0.4776,18.34
1506267,31.380562,down,存疑,mid_band,0.6508,13.39
1599951,33.332313,down,存疑,mid_band,0.6189,54.42
1659012,34.562750,down,存疑,mid_band,0.5153,15.84
1682237,35.046604,down,存疑,mid_band,0.5574,11.76
1711403,35.654229,down,存疑,mid_band,0.5307,15.79
1725629,35.950604,down,存疑,mid_band,0.7994,14.69
1752082,36.501708,down,存疑,mid_band,0.7458,25.44
1801367,37.528479,down,存疑,mid_band,0.8018,32.07
1807269,37.651438,down,drop,ncc_lo,0.3982,45.83
1815561,37.824188,down,存疑,mid_band,0.6901,19.21
1855424,38.654667,down,存疑,mid_band,0.7277,16.38
1862541,38.802937,down,存疑,mid_band,0.7804,44.24
1889848,39.371833,down,存疑,mid_band,0.7017,12.28
1896935,39.519479,down,drop,ncc_lo,0.3121,17.31
1909775,39.786979,down,drop,ncc_lo,0.0575,39.74
1915468,39.905583,down,存疑,mid_band,0.6569,10.13
1923130,40.065208,down,存疑,mid_band,0.6944,14.31
1941893,40.456104,down,drop,ncc_lo,0.4822,16.97
1982827,41.308896,down,存疑,mid_band,0.6295,19.36
1994950,41.561458,down,drop,ncc_lo,0.2582,31.25
2028934,42.269458,down,存疑,mid_band,0.6322,16.32
2138864,44.559667,down,存疑,mid_band,0.5458,52.12
2171917,45.248271,down,存疑,mid_band,0.7425,14.94
2241293,46.693604,down,存疑,mid_band,0.7245,32.04
2298178,47.878708,down,存疑,mid_band,0.6972,12.61
2310912,48.144000,down,存疑,mid_band,0.8181,54.17
2393423,49.862979,down,drop,ncc_lo,-0.0822,37.10
2398484,49.968417,down,drop,ncc_lo,0.4832,19.50
2414727,50.306812,down,drop,ncc_lo,0.4575,30.76
2438757,50.807437,down,存疑,mid_band,0.5509,10.27
2475772,51.578583,down,存疑,mid_band,0.6262,11.29
2491222,51.900458,down,存疑,mid_band,0.6318,10.52
2507975,52.249479,down,存疑,mid_band,0.6389,13.69
2538575,52.886979,down,存疑,mid_band,0.5594,31.58
2552925,53.185938,down,存疑,mid_band,0.6114,8.21
2573073,53.605688,down,drop,ncc_lo,0.4005,19.96
2590381,53.966271,down,存疑,mid_band,0.6073,12.69
2610300,54.381250,down,存疑,mid_band,0.6790,34.33
2626262,54.713792,down,drop,ncc_lo,0.4530,16.15
2647972,55.166083,down,drop,ncc_lo,0.3388,14.78
2760528,57.511000,down,drop,ncc_lo,0.4699,30.11
2772852,57.767750,down,drop,ncc_lo,0.1983,9.16
2789431,58.113146,down,存疑,mid_band,0.5057,12.45
2820829,58.767271,down,drop,ncc_lo,0.4191,10.58
2822524,58.802583,down,存疑,mid_band,0.6322,10.89
2836217,59.087854,down,drop,ncc_lo,0.4189,12.20
2847866,59.330542,down,存疑,mid_band,0.5322,10.36
2849893,59.372771,down,存疑,mid_band,0.5585,13.89
2917823,60.787979,down,存疑,mid_band,0.7157,28.27
2919894,60.831125,down,存疑,mid_band,0.7293,25.42
2939660,61.242917,down,drop,ncc_lo,0.4931,9.05
2952409,61.508521,down,drop,ncc_lo,0.3680,11.42
2954471,61.551479,down,存疑,mid_band,0.6876,11.22
2967127,61.815146,down,drop,ncc_lo,0.3561,10.73
3088517,64.344104,down,存疑,mid_band,0.7167,24.72
3102307,64.631396,down,存疑,mid_band,0.6392,12.04
3115021,64.896271,down,存疑,mid_band,0.7020,37.61
3130072,65.209833,down,存疑,mid_band,0.6762,44.45
3136213,65.337771,down,存疑,mid_band,0.6395,27.70
3204074,66.751542,down,存疑,mid_band,0.7264,39.86
3219066,67.063875,down,drop,ncc_lo,0.4064,19.63
3224280,67.172500,down,drop,ncc_lo,0.4690,8.51
3233158,67.357458,down,存疑,mid_band,0.7278,27.28
3266028,68.042250,down,存疑,mid_band,0.6627,46.13
3276214,68.254458,down,drop,ncc_lo,0.4252,20.03
3284572,68.428583,down,存疑,mid_band,0.6108,46.56
3295053,68.646938,down,存疑,mid_band,0.6150,26.85
3316489,69.093521,down,drop,ncc_lo,0.3353,10.42
3342306,69.631375,down,存疑,mid_band,0.6690,41.80
3361635,70.034063,down,drop,ncc_lo,0.4794,17.04
3402522,70.885875,down,存疑,mid_band,0.7513,56.62
3436957,71.603271,down,存疑,mid_band,0.7376,10.75
3451352,71.903167,down,drop,ncc_lo,0.4124,9.87
3472669,72.347271,down,存疑,mid_band,0.5653,11.18
3498646,72.888458,down,drop,ncc_lo,0.2875,62.08
3511998,73.166625,down,drop,ncc_lo,0.4258,41.50
3550415,73.966979,down,存疑,mid_band,0.5071,20.03
3589571,74.782729,down,存疑,mid_band,0.5013,16.99
3600959,75.019979,down,drop,ncc_lo,0.2639,28.25
3617065,75.355521,down,drop,ncc_lo,0.0363,32.97
3636831,75.767313,down,存疑,mid_band,0.5479,23.24
3657821,76.204604,down,drop,ncc_lo,0.1527,26.09
3676307,76.589729,down,drop,ncc_lo,0.2386,9.99
3756003,78.250062,down,存疑,mid_band,0.8262,17.90
3764224,78.421333,down,drop,ncc_lo,0.4258,14.55
3798089,79.126854,down,drop,ncc_lo,0.2425,8.39
3810331,79.381896,down,存疑,mid_band,0.7353,12.22
3813976,79.457833,down,存疑,mid_band,0.7870,31.63
3819740,79.577917,down,存疑,mid_band,0.6065,9.82
3827104,79.731333,down,存疑,mid_band,0.5234,15.96
3925190,81.774792,down,存疑,mid_band,0.5402,8.96
3953097,82.356188,down,存疑,mid_band,0.5306,18.09
3975961,82.832521,down,存疑,close_pair_ambiguous,0.5738,7.29
3977364,82.861750,down,存疑,close_pair_ambiguous,0.4864,10.01
3989001,83.104187,down,存疑,mid_band,0.6157,11.10
4000609,83.346021,down,存疑,mid_band,0.6795,16.06
4027340,83.902917,down,drop,ncc_lo,-0.1183,24.94
4030201,83.962521,down,存疑,mid_band,0.8368,14.77
4047772,84.328583,down,drop,ncc_lo,-0.1014,44.29
4098445,85.384271,down,存疑,mid_band,0.5483,11.42
4173929,86.956854,down,存疑,both_low_close,0.3191,13.78
4174425,86.967187,down,存疑,both_low_close,0.4798,13.76
4193632,87.367333,down,drop,ncc_lo,0.1923,6.91
4202832,87.559000,down,drop,ncc_lo,0.4473,37.86
4211583,87.741313,down,存疑,mid_band,0.6910,20.74
4223161,87.982521,down,存疑,mid_band,0.5062,8.53
4272300,89.006250,down,存疑,mid_band,0.8302,26.43
4317931,89.956896,down,存疑,mid_band,0.6901,8.47
4331371,90.236896,down,存疑,mid_band,0.6131,10.52
4444565,92.595104,down,存疑,mid_band,0.5334,11.04
4447079,92.647479,down,存疑,mid_band,0.6868,24.80
4500832,93.767333,down,存疑,mid_band,0.5035,24.94
4509804,93.954250,down,存疑,both_low_close,0.1614,14.75
4510834,93.975708,down,存疑,both_low_close,0.3134,5.95
4533824,94.454667,down,存疑,mid_band,0.5308,34.95
4550372,94.799417,down,drop,ncc_lo,0.1544,33.17
4582217,95.462854,down,drop,ncc_lo,0.3829,8.14
4588454,95.592792,down,存疑,mid_band,0.6423,38.00
4621915,96.289896,down,存疑,mid_band,0.7974,41.76
4746444,98.884250,down,存疑,mid_band,0.6533,23.48
4786293,99.714438,down,存疑,mid_band,0.6683,21.56
4801433,100.029854,down,存疑,both_low_close,0.3871,12.55
4802423,100.050479,down,存疑,both_low_close,0.2243,7.85
4834819,100.725396,down,存疑,mid_band,0.7270,51.58
4858280,101.214167,down,存疑,mid_band,0.7798,27.09
4867123,101.398396,down,存疑,mid_band,0.7581,11.70
4893589,101.949771,down,存疑,mid_band,0.5356,8.97
4905916,102.206583,down,存疑,mid_band,0.5570,15.02
4914329,102.381854,down,存疑,mid_band,0.6524,10.87
4944936,103.019500,down,存疑,mid_band,0.7784,46.93
