sample,time_s,confidence,range_db,basis
115693,2.410271,存疑,39.0,sheet-window
3396305,70.756354,确定,40.0,sheet-window
6060978,126.270375,确定,45.9,sheet-window
8149511,169.781479,确定,39.0,sheet-window
11939217,248.733688,确定,38.7,sheet-window
15368668,320.180583,存疑,29.4,sheet-window
