sample,time_s,confidence,range_db,basis
138660,2.888750,确定,60.4,sheet-window
941877,19.622438,确定,55.5,sheet-window
2268440,47.259167,确定,57.3,sheet-window
2849758,59.369958,存疑,13.7,sheet-window
3517400,73.279167,确定,32.0,sheet-window
5078327,105.798479,确定,21.8,sheet-window
6465789,134.703937,确定,51.9,sheet-window
