sample,time_s,confidence,range_db,basis
125975,2.624479,确定,52.1,sheet-window
2873404,59.862583,确定,37.1,sheet-window
4771704,99.410500,确定,37.1,sheet-window
6146566,128.053458,确定,48.7,sheet-window
7774108,161.960583,确定,41.5,sheet-window
8672968,180.686833,确定,44.2,sheet-window
10197163,212.440896,存疑,48.1,sheet-window
