sample,time_s,confidence,range_db,basis
17743,0.369646,存疑,20.6,sheet-window
1672422,34.842125,确定,19.3,sheet-window
3671084,76.480917,确定,23.4,sheet-window
5123765,106.745104,存疑,17.4,sheet-window
6778652,141.221917,存疑,16.6,sheet-window
9442293,196.714438,存疑,16.6,sheet-window
10290159,214.378312,存疑,20.3,sheet-window
