sample,time_s,confidence,range_db,basis
113190,2.358125,确定,49.6,sheet-window
1463835,30.496562,确定,36.2,sheet-window
3030402,63.133375,确定,41.7,sheet-window
5134046,106.959292,确定,53.5,sheet-window
6621249,137.942688,确定,54.2,sheet-window
9725627,202.617229,存疑,15.6,sheet-window
11555254,240.734458,确定,53.0,sheet-window
