file,click_idx,window_text,t_lo_s,t_hi_s,reason,sample,time_s,ncc,range_db,note
C80,1,2-3s,2,3,multi_candidate,79450,1.655208,0.955,22.5,
C80,4,76-77s,76,77,multi_candidate,3652075,76.084896,0.944,24.8,
C80,6,114-115s,114,115,low_conf,5488991,114.353979,0.833,24.8,
C80,7,127-127s,127,127,"multi_candidate,low_conf",6059198,126.233292,0.660,26.3,
F69,2,20-21s,20,21,multi_candidate,941877,19.622438,0.985,55.5,
F69,3,47-48s,47,48,multi_candidate,2268440,47.259167,0.994,57.3,
F69,4,59-60s,59,60,"multi_candidate,low_conf",2849758,59.369958,0.880,13.7,
F69,5,74-75s,74,75,multi_candidate,3517400,73.279167,0.969,32.0,
F69,6,106-107s,106,107,multi_candidate,5078327,105.798479,0.955,21.8,
HZ_C3,,,,,only_6_clicks,,,,,2s; 1'10-1'11; 2'05-2'06; 2'49-2'50; 4'09-4'10; 5'20-5'21
HZ_C3,1,2-2s,2,2,low_conf,115693,2.410271,0.899,39.0,
HZ_C3,2,70-71s,70,71,multi_candidate,3396305,70.756354,0.970,40.0,
HZ_C3,5,249-250s,249,250,multi_candidate,11939217,248.733688,0.908,38.7,
HZ_C3,6,320-321s,320,321,"multi_candidate,low_conf",15368668,320.180583,0.881,29.4,
HZ_F14,1,4-4s,4,4,multi_candidate,170553,3.553187,0.946,39.1,note
HZ_F14,2,120-121s,120,121,multi_candidate,5790120,120.627500,0.967,52.6,
HZ_F14,3,Separate audio,,,separate_audio,,,,,click is in a QN clip; located there
HZ_F14,4,124-125s,124,125,multi_candidate,5954407,124.050146,0.987,55.1,
HZ_F14,7,323-324s,323,324,multi_candidate,15467817,322.246188,0.950,31.9,
HZ_F14Q2,2,,,,"separate_audio,qn_slot_ambiguous",,,,,"separate-audio clip for HZ_F14 (Q index 2); sheet marks Separate audio at click[3], not click2"
HZ_F14Q2,2,whole-clip,,,"multi_candidate,low_conf",36051,0.751062,0.876,19.3,"separate_audio,qn_slot_ambiguous"
HZ_F17,1,1-1s,1,1,multi_candidate,55998,1.166625,0.946,30.7,
HZ_F17,3,123-124s,123,124,multi_candidate,5934084,123.626750,0.983,55.9,
HZ_F17,6,336-337s,336,337,multi_candidate,16158033,336.625688,0.947,26.3,
HZ_F17,7,400-400s,400,400,"multi_candidate,low_conf",19168565,399.345104,0.822,22.3,
HZ_F7,3,52-53s,52,53,multi_candidate,2501390,52.112292,0.992,43.9,
HZ_F7,5,104-105s,104,105,multi_candidate,5059270,105.401458,0.992,59.9,
HZ_F7,6,141-142s,141,142,multi_candidate,6798814,141.641958,0.964,52.9,
HZ_F7,7,157-157s,157,157,"multi_candidate,low_conf",7524635,156.763229,0.888,44.0,
IntlSB1,2,15-15s,15,15,multi_candidate,730679,15.222479,0.974,55.9,
IntlSB1,6,191-192s,191,192,multi_candidate,9196152,191.586500,0.986,62.5,
IntlSB1,7,197-197s,197,197,multi_candidate,9458356,197.049083,0.982,43.6,
IntlSB10,1,Separate audio,,,separate_audio,,,,,click is in a QN clip; located there
IntlSB10,2,2-2s,2,2,multi_candidate,79931,1.665229,0.956,37.9,
IntlSB10,3,233-234s,233,234,multi_candidate,11178462,232.884625,0.974,40.3,
IntlSB10Q1,1,,,,separate_audio,,,,,separate-audio clip for IntlSB10 (Q index 1)
IntlSB10Q1,1,whole-clip,,,multi_candidate,31664,0.659667,0.938,37.8,separate_audio
IntlSB11,1,3-3s,3,3,multi_candidate,123632,2.575667,0.944,18.6,
IntlSB11,2,40-41s,40,41,multi_candidate,1913638,39.867458,0.964,22.8,
IntlSB11,3,106-107s,106,107,multi_candidate,5104836,106.350750,0.983,18.0,
IntlSB11,5,261-262s,261,262,multi_candidate,12569232,261.859000,0.975,52.2,
IntlSB12,5,95-96s,95,96,multi_candidate,4554167,94.878479,0.952,30.4,
IntlSB12,7,177-177s,177,177,multi_candidate,8481966,176.707625,0.948,36.7,
IntlSB13,,,,,out_of_order,,,,,2s; 36s-37s; 1'22-1'23; 2'03-2'04; 2'55-2'56; 2'35-2'36; 4'29-4'30
IntlSB13,1,2-2s,2,2,multi_candidate,100301,2.089604,0.991,52.4,
IntlSB13,2,36-37s,36,37,multi_candidate,1759314,36.652375,0.991,59.4,
IntlSB13,3,82-83s,82,83,multi_candidate,4005264,83.443000,0.993,55.1,
IntlSB13,4,123-124s,123,124,multi_candidate,5889774,122.703625,0.922,27.2,
IntlSB13,5,175-176s,175,176,multi_candidate,8411219,175.233729,0.963,60.5,
IntlSB13,6,155-156s,155,156,"multi_candidate,low_conf",7412966,154.436792,0.891,19.8,
IntlSB13,7,269-270s,269,270,multi_candidate,12916740,269.098750,0.961,49.9,
IntlSB14,1,1-1s,1,1,multi_candidate,18993,0.395688,0.936,43.1,
IntlSB14,2,67-68s,67,68,multi_candidate,3228576,67.262000,0.987,56.0,
IntlSB14,4,204-204s,204,204,multi_candidate,9787009,203.896021,0.937,37.9,
IntlSB14,7,557-557s,557,557,multi_candidate,26764379,557.591229,0.979,46.3,
IntlSB15,2,Separate audio,,,separate_audio,,,,,click is in a QN clip; located there
IntlSB15,3,30-30s,30,30,multi_candidate,1462752,30.474000,0.991,48.5,
IntlSB15,4,84-84s,84,84,"multi_candidate,low_conf",4000907,83.352229,0.775,17.9,
IntlSB15,5,133-134s,133,134,multi_candidate,6419636,133.742417,0.983,48.0,
IntlSB15,6,213-214s,213,214,multi_candidate,10245177,213.441188,0.969,46.8,
IntlSB15,7,247-247s,247,247,multi_candidate,11861322,247.110875,0.986,48.9,
IntlSB15Q2,2,,,,separate_audio,,,,,separate-audio clip for IntlSB15 (Q index 2)
IntlSB15Q2,2,whole-clip,,,multi_candidate,40276,0.839083,0.986,27.4,separate_audio
IntlSB16,5,110-111s,110,111,multi_candidate,5267528,109.740167,0.949,21.0,
IntlSB17,1,2-2s,2,2,multi_candidate,85370,1.778542,0.981,19.7,
IntlSB17,3,41-42s,41,42,"multi_candidate,low_conf",1957126,40.773458,0.878,13.2,
IntlSB17,7,108-108s,108,108,"multi_candidate,low_conf",5165841,107.621687,0.880,24.4,
IntlSB18,1,15-15s,15,15,multi_candidate,740533,15.427771,0.946,42.2,note
IntlSB18,4,119-120s,119,120,multi_candidate,5681256,118.359500,0.957,40.8,
IntlSB18,5,163-164s,163,164,multi_candidate,7836535,163.261146,0.983,52.9,
IntlSB18,6,219-220s,219,220,"multi_candidate,low_conf",10507872,218.914000,0.859,26.9,
IntlSB19,1,13-13s,13,13,multi_candidate,598057,12.459521,0.967,28.2,note
IntlSB19,2,22-23s,22,23,"multi_candidate,low_conf",1033562,21.532542,0.879,15.4,
IntlSB19,4,66-67s,66,67,low_conf,3139228,65.400583,0.760,13.9,
IntlSB19,6,114-115s,114,115,"multi_candidate,low_conf",5447761,113.495021,0.894,20.2,
IntlSB19,7,135-135s,135,135,multi_candidate,6453816,134.454500,0.900,33.3,
IntlSB3,1,2-2s,2,2,multi_candidate,61771,1.286896,0.941,38.3,
IntlSB3,2,70-71s,70,71,multi_candidate,3379374,70.403625,0.965,49.7,
IntlSB3,3,142-143s,142,143,multi_candidate,6827921,142.248354,0.994,50.0,
IntlSB3,4,196-197s,196,197,multi_candidate,9445299,196.777062,0.987,51.7,
IntlSB3,5,242-243s,242,243,multi_candidate,11644093,242.585271,0.988,49.9,
IntlSB3,6,314-315s,314,315,multi_candidate,15101346,314.611375,0.992,49.7,
IntlSB3,7,366-366s,366,366,low_conf,17535153,365.315688,0.837,36.0,
IntlSB4,,,,,only_6_clicks,,,,,Separate audio; 1s; 54s-55s; 2'03-2'04; 2'58-2'59; 4'38-4'39
IntlSB4,1,Separate audio,,,separate_audio,,,,,click is in a QN clip; located there
IntlSB4,2,1-1s,1,1,"multi_candidate,low_conf",26346,0.548875,0.887,48.1,
IntlSB4,4,123-124s,123,124,multi_candidate,5880142,122.502958,0.969,42.7,
IntlSB4,5,178-179s,178,179,multi_candidate,8558217,178.296188,0.957,27.0,
IntlSB4,6,278-279s,278,279,multi_candidate,13315171,277.399396,0.917,21.6,
IntlSB4Q1,1,,,,separate_audio,,,,,separate-audio clip for IntlSB4 (Q index 1)
IntlSB4Q1,1,whole-clip,,,multi_candidate,41979,0.874563,0.986,25.7,separate_audio
IntlSB5,2,25-25s,25,25,multi_candidate,1218395,25.383229,0.992,49.7,
IntlSB6,2,30-31s,30,31,"multi_candidate,low_conf",1427946,29.748875,0.883,35.1,
IntlSB8,4,135-136s,135,136,multi_candidate,6453722,134.452542,0.953,30.9,
IntlSB8,5,174-175s,174,175,multi_candidate,8334992,173.645667,0.991,51.1,
IntlSB9,,,,,only_6_clicks,,,,,3s; 38s-39s; 1'26-1'27; 2'19-2'20; 3'16-3'17; 4'20-4'21
IntlSB9,1,3-3s,3,3,"multi_candidate,low_conf",110023,2.292146,0.860,25.4,
IntlSB9,2,38-39s,38,39,multi_candidate,1795662,37.409625,0.932,35.8,
