sample,time_s,confidence,range_db,basis
225851,4.705229,确定,41.5,sheet-window
1387133,28.898604,确定,35.2,sheet-window
2737969,57.041021,确定,43.1,sheet-window
3360422,70.008792,确定,36.8,sheet-window
4617439,96.196646,确定,50.0,sheet-window
6360019,132.500396,确定,41.8,sheet-window
7120953,148.353187,确定,52.0,sheet-window
