sample,time_s,confidence,range_db,basis
178542,3.719625,存疑,15.9,sheet-window
5037872,104.955667,确定,52.9,sheet-window
9605190,200.108125,确定,46.7,sheet-window
12899038,268.729958,确定,50.1,sheet-window
18613957,387.790771,确定,51.9,sheet-window
22511291,468.985229,确定,37.3,sheet-window
26398749,549.973938,确定,61.2,sheet-window
